
-------------------------------G4_Ar
-------------------------------pi+
### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  133       2.163      0.1149     0.03949       0.1544
  134       2.213      0.1149     0.04033       0.1552
  135       2.265      0.1149     0.04118       0.1561
  136       2.317      0.1149     0.04203       0.1569
  137       2.371      0.1149     0.04288       0.1578
  138       2.427      0.1149     0.04374       0.1586
  139       2.483      0.1149      0.0446       0.1595
  140       2.541      0.1149     0.04546       0.1603
  141         2.6      0.1149     0.04632       0.1612
  142       2.661      0.1149     0.04719       0.1621
  143       2.723      0.1149     0.04806       0.1629
  144       2.786      0.1149     0.04894       0.1638
  145       2.851      0.1149     0.04982       0.1647
  146       2.917      0.1149     0.05071       0.1656
  147       2.985      0.1149      0.0516       0.1665
  148       3.055      0.1149     0.05249       0.1674
  149       3.126      0.1149     0.05339       0.1683
  150       3.199      0.1149      0.0543       0.1692
  151       3.273      0.1149     0.05521       0.1701
  152        3.35      0.1149     0.05613        0.171
  153       3.428      0.1149     0.05706       0.1719
  154       3.508      0.1149     0.05799       0.1729
  155       3.589      0.1149     0.05892       0.1738
  156       3.673      0.1149     0.05987       0.1747
  157       3.758      0.1149     0.06082       0.1757
  158       3.846      0.1149     0.06178       0.1766
  159       3.936      0.1149     0.06274       0.1776
  160       4.027      0.1149     0.06371       0.1786
  161       4.121      0.1149     0.06469       0.1796
  162       4.217      0.1149     0.06568       0.1806
  163       4.315      0.1149     0.06667       0.1815
  164       4.416      0.1149     0.06768       0.1826
  165       4.519      0.1149     0.06869       0.1836
  166       4.624      0.1149     0.06971       0.1846
  167       4.732      0.1149     0.07074       0.1856
  168       4.842      0.1149     0.07177       0.1866
  169       4.955      0.1149     0.07282       0.1877
  170        5.07      0.1149     0.07387       0.1887
  171       5.188      0.1149     0.07494       0.1898
  172       5.309      0.1149     0.07601       0.1909
  173       5.433      0.1149      0.0771        0.192
  174       5.559      0.1149     0.07819       0.1931
  175       5.689      0.1149     0.07929       0.1942
  176       5.821      0.1149      0.0804       0.1953
  177       5.957      0.1149     0.08153       0.1964
  178       6.095      0.1149     0.08266       0.1975
  179       6.237      0.1149      0.0838       0.1987
  180       6.383      0.1149     0.08496       0.1998
  181       6.531      0.1149     0.08612        0.201
  182       6.683      0.1149      0.0873       0.2022
  183       6.839      0.1149     0.08849       0.2034
  184       6.998      0.1149     0.08969       0.2046
  185       7.161      0.1149      0.0909       0.2058
  186       7.328      0.1149     0.09212        0.207
  187       7.499      0.1149     0.09335       0.2082
  188       7.674      0.1149      0.0946       0.2095
  189       7.852      0.1149     0.09586       0.2107
  190       8.035      0.1149     0.09713        0.212
  191       8.222      0.1149     0.09841       0.2133
  192       8.414      0.1149     0.09971       0.2146
  193        8.61      0.1149       0.101       0.2159
  194        8.81      0.1149      0.1023       0.2172
  195       9.016      0.1149      0.1037       0.2185
  196       9.226      0.1149       0.105       0.2199
  197       9.441      0.1149      0.1064       0.2213
  198       9.661      0.1149      0.1078       0.2226
  199       9.886      0.1149      0.1092        0.224
  200       10.12      0.1149      0.1106       0.2254
  201       10.35      0.1149       0.112       0.2269
  202       10.59      0.1149      0.1134       0.2283
  203       10.84      0.1149      0.1149       0.2297
  204       11.09      0.1149      0.1163       0.2312
  205       11.35      0.1149      0.1178       0.2327
  206       11.61      0.1149      0.1193       0.2342
  207       11.89      0.1149      0.1208       0.2357
  208       12.16      0.1149      0.1223       0.2372
  209       12.45      0.1149      0.1239       0.2388
  210       12.74      0.1149      0.1254       0.2403
  211       13.03      0.1149       0.127       0.2419
  212       13.34      0.1149      0.1286       0.2435
  213       13.65      0.1149      0.1302       0.2451
  214       13.96      0.1149      0.1318       0.2467
  215       14.29      0.1149      0.1335       0.2484
  216       14.62      0.1149      0.1352         0.25
  217       14.96      0.1149      0.1368       0.2517
  218       15.31      0.1149      0.1385       0.2534
  219       15.67      0.1149      0.1402       0.2551
  220       16.03      0.1149       0.142       0.2569
  221       16.41      0.1149      0.1437       0.2586
  222       16.79      0.1149      0.1455       0.2604
  223       17.18      0.1149      0.1473       0.2622
  224       17.58      0.1149      0.1491        0.264
  225       17.99      0.1149      0.1509       0.2658
  226       18.41      0.1149      0.1528       0.2677
  227       18.84      0.1149      0.1547       0.2695
  228       19.28      0.1149      0.1565       0.2714
  229       19.72      0.1149      0.1585       0.2733
  230       20.18       0.115       0.161        0.276
  231       20.65      0.1154      0.1647         0.28
  232       21.13      0.1157      0.1684       0.2841
  233       21.63      0.1161      0.1722       0.2883
  234       22.13      0.1165      0.1761       0.2926
  235       22.65      0.1169      0.1801       0.2969
  236       23.17      0.1172      0.1842       0.3014
  237       23.71      0.1176      0.1883        0.306
  238       24.27      0.1181      0.1926       0.3107
  239       24.83      0.1185       0.197       0.3155
  240       25.41      0.1189      0.2014       0.3204
  241          26      0.1194       0.206       0.3254
  242       26.61      0.1198      0.2107       0.3305
  243       27.23      0.1203      0.2155       0.3358
  244       27.86      0.1207      0.2204       0.3411
  245       28.51      0.1212      0.2254       0.3466
  246       29.17      0.1217      0.2306       0.3523
  247       29.85      0.1222      0.2358        0.358
  248       30.55      0.1227      0.2412       0.3639
  249       31.26      0.1233      0.2467         0.37
  250       31.99      0.1238      0.2523       0.3761
  251       32.73      0.1244      0.2581       0.3825
  252        33.5      0.1249       0.264       0.3889
  253       34.28      0.1255        0.27       0.3955
  254       35.08      0.1261      0.2762       0.4023
  255       35.89      0.1267      0.2825       0.4092
  256       36.73      0.1274       0.289       0.4163
  257       37.58       0.128      0.2956       0.4236
  258       38.46      0.1287      0.3023        0.431
  259       39.36      0.1293      0.3093       0.4386
  260       40.27       0.132      0.3168       0.4487
  261       41.21      0.1395      0.3254       0.4649
  262       42.17      0.1471      0.3343       0.4814
  263       43.15       0.155      0.3434       0.4983
  264       44.16       0.163      0.3526       0.5156
  265       45.19      0.1712      0.3621       0.5333
  266       46.24      0.1796      0.3719       0.5514
  267       47.32      0.1882      0.3818         0.57
  268       48.42       0.197       0.392       0.5889
  269       49.55       0.206      0.4024       0.6084
  270        50.7      0.2152       0.413       0.6282
  271       51.88      0.2246       0.424       0.6485
  272       53.09      0.2342      0.4351       0.6693
  273       54.33      0.2441      0.4465       0.6906
  274       55.59      0.2542      0.4582       0.7124
  275       56.89      0.2645      0.4702       0.7347
  276       58.21      0.2751      0.4824       0.7575
  277       59.57      0.2859      0.4949       0.7808
  278       60.95       0.297      0.5106       0.8076
  279       62.37      0.3083       0.528       0.8363
  280       63.83      0.3199      0.5457       0.8656
  281       65.31      0.3318      0.5639       0.8957
  282       66.83      0.3439      0.5825       0.9264
  283       68.39      0.3563      0.6016       0.9579
  284       69.98       0.369      0.6211       0.9901
  285       71.61       0.382       0.641        1.023
  286       73.28      0.3953      0.6614        1.057
  287       74.99      0.4089      0.6823        1.091
  288       76.74      0.4229      0.7037        1.127
  289       78.52      0.4371      0.7256        1.163
  290       80.35       0.451      0.7458        1.197
  291       82.22      0.4622      0.7575         1.22
  292       84.14      0.4737      0.7695        1.243
  293        86.1      0.4854      0.7817        1.267
  294        88.1      0.4974      0.7942        1.292
  295       90.16      0.5096       0.807        1.317
  296       92.26      0.5222      0.8201        1.342
  297       94.41       0.535      0.8335        1.369
  298       96.61      0.5482      0.8472        1.395
  299       98.86      0.5617      0.8613        1.423
  300       101.2      0.5691      0.8704        1.439
  301       103.5      0.5703      0.8745        1.445
  302       105.9      0.5715      0.8787         1.45
  303       108.4      0.5728       0.883        1.456
  304       110.9       0.574      0.8874        1.461
  305       113.5      0.5754      0.8919        1.467
  306       116.1      0.5767      0.8966        1.473
  307       118.9      0.5781      0.9013        1.479
  308       121.6      0.5782      0.9029        1.481
  309       124.5      0.5775      0.9022         1.48
  310       127.4      0.5768      0.9014        1.478
  311       130.3      0.5761      0.9007        1.477
  312       133.4      0.5753      0.8999        1.475
  313       136.5      0.5746      0.8991        1.474
  314       139.6      0.5738      0.8983        1.472
  315       142.9      0.5737      0.8925        1.466
  316       146.2      0.5736      0.8858        1.459
  317       149.6      0.5736      0.8791        1.453
  318       153.1      0.5736      0.8721        1.446
  319       156.7      0.5736       0.865        1.439
  320       160.3      0.5736      0.8576        1.431
  321       164.1      0.5736      0.8483        1.422
  322       167.9      0.5736      0.8387        1.412
  323       171.8      0.5736      0.8289        1.403
  324       175.8      0.5736       0.819        1.393
  325       179.9      0.5736      0.8087        1.382
  326       184.1      0.5716      0.8003        1.372
  327       188.4      0.5694      0.7918        1.361
  328       192.8      0.5672       0.783         1.35
  329       197.2      0.5649      0.7741        1.339
  330       201.8      0.5626      0.7659        1.328
  331       206.5      0.5603      0.7588        1.319
  332       211.3      0.5579      0.7515        1.309
  333       216.3      0.5554      0.7441          1.3
  334       221.3      0.5527      0.7372         1.29
  335       226.5      0.5492       0.732        1.281
